Vector Configuration,Microseconds,# Data Comparisons,# Loop Comparisons,# Data Assignments,# Loop Assignments,# Other,# Total
Sorted N=500,0,499,502,0A,502,0,1503
Sorted N=1000,1,999,1002,0A,1002,0,3003
Sorted N=5000,6,4999,5002,0A,5002,0,15003
Sorted N=10000,11,9999,10002,0A,10002,0,30003
Descending sorted N=500,582,249500,250002,374250A,375251,0,1249003
Descending sorted N=1000,2255,999000,1000002,1498500A,1500501,0,4998003
Descending sorted N=5000,68087,24995000,25000002,37492500A,37502501,0,124990003
Descending sorted N=10000,517100,99990000,100000002,149985000A,150005001,0,499980003
Random N=500,433,237025,237502,199236A,304388,0,978151
Random N=1000,1625,966033,967002,778194A,1227366,0,3938595
Random N=5000,90649,24585082,24590002,18876609A,30887122,0,98938815
Random N=10000,318277,99180081,99190002,75230178A,124276646,0,397876907
