Vector Configuration,Microseconds,# Data Comparisons,# Loop Comparisons,# Data Assignments,# Loop Assignments,# Other,# Total
Sorted N=500,1,0,1498,998,500,500,3496
Sorted N=1000,2,0,2998,1998,1000,1000,6996
Sorted N=5000,9,0,14998,9998,5000,5000,34996
Sorted N=10000,20,0,29998,19998,10000,10000,69996
Descending sorted N=500,204,0,126248,125748,125250,500,377746
Descending sorted N=1000,802,0,502498,501498,500500,1000,1505496
Descending sorted N=5000,69064,0,12512498,12507498,12502500,5000,37527496
Descending sorted N=10000,205422,0,50024998,50014998,50005000,10000,150054996
Random N=500,109,0,67910,67410,66912,500,202732
Random N=1000,490,0,262396,261396,260398,1000,785190
Random N=5000,8976,0,6307201,6302201,6297203,5000,18911605
Random N=10000,98621,0,25106724,25096724,25086726,10000,75300174
